Date,Time,ZCM,HPIM,PIM,LIFE,Event,Light,Temp,SleSco
04/22/2018,21:19:00,274,69776,3876.444,10000,0,0,60.07368,0
04/22/2018,21:20:00,298,72344,4019.111,10000,0,0,60.76709,0
04/22/2018,21:21:00,285,119602,6644.556,10000,0,0,60.76709,0
04/22/2018,21:22:00,299,60363,3353.5,10000,0,0,60.76709,0
04/22/2018,21:23:00,307,82710,4595,10000,0,0,60.76709,0
04/22/2018,21:24:00,297,92055,5114.167,10000,0,0,60.76709,0
04/22/2018,21:25:00,278,184021,10223.39,10000,0,0,60.76709,0
04/22/2018,21:26:00,287,215848,11991.56,10000,0,0.1428571,60.07368,0
04/22/2018,21:27:00,248,176369,9798.277,10000,0,0,60.07368,0
04/22/2018,21:28:00,314,232159,12897.72,10000,0,0,60.76709,0
04/22/2018,21:29:00,221,49397,2744.278,10000,0,0,60.07368,0
04/22/2018,21:30:00,283,157047,8724.833,10000,0,0.2857143,60.07368,0
04/22/2018,21:31:00,306,264979,14721.06,10000,0,4.073171,60.07368,0
04/22/2018,21:32:00,298,224701,12483.39,10000,0,6.609756,60.07368,0
04/22/2018,21:33:00,252,129171,7176.167,10000,0,0.4285714,60.07368,0
04/22/2018,21:34:00,275,135071,7503.944,10000,0,1.218182,60.07368,0
04/22/2018,21:35:00,289,127571,7087.278,10000,0,0,60.07368,0
04/22/2018,21:36:00,262,129565,7198.056,10000,0,0,60.07368,0
04/22/2018,21:37:00,270,109735,6096.389,10000,0,1.254545,58.68691,0
04/22/2018,21:38:00,168,82757,4597.611,10000,0,0.7142857,58.68691,0
04/22/2018,21:39:00,188,40777,2265.389,10000,0,0.2857143,58.68691,0
04/22/2018,21:40:00,193,41358,2297.667,10000,0,0.2857143,58.68691,0
04/22/2018,21:41:00,96,2383,132.3889,10000,0,1.036364,58.68691,0
04/22/2018,21:42:00,148,43057,2392.056,10000,0,1,60.07368,0
04/22/2018,21:43:00,174,21743,1207.944,10000,0,1.036364,60.07368,0
04/22/2018,21:44:00,135,19017,1056.5,10000,0,1,60.07368,0
04/22/2018,21:45:00,113,22964,1275.778,10000,0,9.243902,60.07368,0
04/22/2018,21:46:00,168,8185,454.7222,10000,0,0,60.07368,0
04/22/2018,21:47:00,237,157881,8771.167,10000,0,2.236364,60.07368,0
04/22/2018,21:48:00,164,24157,1342.056,10000,0,0,60.07368,0
04/22/2018,21:49:00,175,15527,862.6111,10000,0,0,60.07368,0
04/22/2018,21:50:00,181,21982,1221.222,10000,0,0.2857143,60.07368,0
04/22/2018,21:51:00,199,45165,2509.167,10000,0,0.4285714,60.07368,0
04/22/2018,21:52:00,256,34586,1921.444,10000,0,0.2857143,60.07368,0
